Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Ederson,br BRA,GK,27.0,37.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
João Cancelo,pt POR,DF,27.0,35.9,126.0,3.51,98.0,1.0,8.0,16.0,2.0,1.0,18.0,0.5,13.0,1.0,1.0,3.0,0.0,0.0,Matches
Rodri,es ESP,MF,25.0,32.0,93.0,2.9,82.0,1.0,1.0,5.0,1.0,3.0,6.0,0.19,6.0,0.0,0.0,0.0,0.0,0.0,Matches
Bernardo Silva,pt POR,"MF,FW",26.0,31.7,137.0,4.32,110.0,2.0,10.0,9.0,6.0,0.0,17.0,0.54,13.0,1.0,0.0,2.0,1.0,0.0,Matches
Aymeric Laporte,es ESP,DF,27.0,31.4,40.0,1.27,34.0,0.0,1.0,4.0,1.0,0.0,6.0,0.19,3.0,0.0,0.0,2.0,1.0,0.0,Matches
Rúben Dias,pt POR,DF,24.0,26.7,36.0,1.35,31.0,0.0,0.0,4.0,0.0,1.0,7.0,0.26,5.0,0.0,0.0,2.0,0.0,0.0,Matches
Kevin De Bruyne,be BEL,MF,30.0,24.5,152.0,6.22,105.0,30.0,5.0,9.0,3.0,0.0,14.0,0.57,10.0,3.0,1.0,0.0,0.0,0.0,Matches
Phil Foden,eng ENG,FW,21.0,23.6,89.0,3.76,63.0,13.0,3.0,7.0,2.0,1.0,13.0,0.55,8.0,3.0,0.0,2.0,0.0,0.0,Matches
Raheem Sterling,eng ENG,FW,26.0,23.6,93.0,3.93,72.0,1.0,12.0,4.0,4.0,0.0,10.0,0.42,5.0,0.0,0.0,2.0,3.0,0.0,Matches
Jack Grealish,eng ENG,FW,25.0,21.3,119.0,5.6,98.0,1.0,4.0,5.0,10.0,1.0,6.0,0.28,6.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Jesus,br BRA,FW,24.0,20.9,85.0,4.08,56.0,0.0,16.0,7.0,4.0,2.0,18.0,0.86,11.0,0.0,2.0,1.0,2.0,2.0,Matches
İlkay Gündoğan,de GER,MF,30.0,20.6,84.0,4.07,60.0,14.0,6.0,3.0,0.0,1.0,9.0,0.44,7.0,0.0,1.0,1.0,0.0,0.0,Matches
Kyle Walker,eng ENG,DF,31.0,19.5,45.0,2.31,40.0,0.0,0.0,2.0,3.0,0.0,4.0,0.21,3.0,0.0,0.0,0.0,1.0,0.0,Matches
Riyad Mahrez,dz ALG,FW,30.0,16.6,73.0,4.38,55.0,12.0,1.0,4.0,1.0,0.0,10.0,0.6,7.0,2.0,0.0,1.0,0.0,0.0,Matches
John Stones,eng ENG,DF,27.0,12.4,13.0,1.05,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Oleksandr Zinchenko,ua UKR,DF,24.0,11.6,46.0,3.95,38.0,3.0,3.0,1.0,0.0,1.0,11.0,0.95,8.0,0.0,1.0,1.0,0.0,1.0,Matches
Fernandinho,br BRA,"MF,DF",36.0,10.7,30.0,2.8,23.0,0.0,0.0,4.0,3.0,0.0,4.0,0.37,4.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathan Aké,nl NED,DF,26.0,10.3,5.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ferrán Torres,es ESP,FW,21.0,3.4,5.0,1.49,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Cole Palmer,eng ENG,"FW,MF",19.0,1.4,7.0,5.12,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.73,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Zack Steffen,us USA,GK,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benjamin Mendy,fr FRA,DF,27.0,0.9,5.0,5.77,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Mcatee,eng ENG,"MF,FW",18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Liam Delap,eng ENG,FW,18.0,0.1,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kayky Chagas,br BRA,FW,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
CJ Egan-Riley,eng ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.0,38.0,1286.0,33.84,997.0,78.0,70.0,88.0,42.0,11.0,158.0,4.16,112.0,10.0,6.0,19.0,8.0,3.0,
Opponent Total,,,26.9,38.0,392.0,10.32,286.0,38.0,24.0,15.0,23.0,6.0,49.0,1.29,38.0,2.0,5.0,2.0,1.0,1.0,
David de Gea,es ESP,GK,30.0,38.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Fernandes,pt POR,MF,26.0,34.6,155.0,4.48,115.0,19.0,5.0,10.0,5.0,1.0,11.0,0.32,8.0,0.0,1.0,2.0,0.0,0.0,Matches
Harry Maguire,eng ENG,DF,28.0,27.9,24.0,0.86,14.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Scott McTominay,sct SCO,MF,24.0,26.5,51.0,1.92,43.0,0.0,3.0,1.0,2.0,2.0,6.0,0.23,4.0,0.0,0.0,1.0,0.0,1.0,Matches
Cristiano Ronaldo,pt POR,FW,36.0,27.3,82.0,3.0,62.0,0.0,9.0,6.0,5.0,0.0,9.0,0.33,4.0,0.0,2.0,1.0,2.0,0.0,Matches
Victor Lindelöf,se SWE,DF,27.0,26.2,13.0,0.5,12.0,0.0,0.0,0.0,0.0,1.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0,Matches
Fred,br BRA,MF,28.0,22.5,56.0,2.49,52.0,0.0,0.0,0.0,4.0,0.0,9.0,0.4,8.0,0.0,0.0,0.0,1.0,0.0,Matches
Jadon Sancho,eng ENG,"FW,MF",21.0,21.1,88.0,4.17,73.0,3.0,9.0,2.0,1.0,0.0,9.0,0.43,7.0,0.0,2.0,0.0,0.0,0.0,Matches
Raphaël Varane,fr FRA,DF,28.0,20.3,9.0,0.44,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Aaron Wan-Bissaka,eng ENG,DF,23.0,19.9,35.0,1.76,29.0,0.0,3.0,1.0,1.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Diogo Dalot,pt POR,DF,22.0,20.0,42.0,2.1,37.0,1.0,3.0,0.0,1.0,0.0,5.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,Matches
Luke Shaw,eng ENG,DF,26.0,17.8,69.0,3.88,45.0,21.0,1.0,0.0,0.0,2.0,6.0,0.34,5.0,1.0,0.0,0.0,0.0,0.0,Matches
Alex Telles,br BRA,DF,28.0,18.4,51.0,2.77,27.0,18.0,1.0,2.0,2.0,1.0,5.0,0.27,0.0,4.0,0.0,0.0,1.0,0.0,Matches
Nemanja Matić,rs SRB,MF,32.0,15.4,30.0,1.96,28.0,0.0,1.0,0.0,0.0,1.0,6.0,0.39,6.0,0.0,0.0,0.0,0.0,0.0,Matches
Paul Pogba,fr FRA,"MF,FW",28.0,15.0,57.0,3.8,45.0,1.0,6.0,1.0,4.0,0.0,11.0,0.73,10.0,1.0,0.0,0.0,0.0,0.0,Matches
Mason Greenwood,eng ENG,"FW,MF",19.0,14.1,52.0,3.68,42.0,0.0,6.0,2.0,2.0,0.0,7.0,0.5,6.0,0.0,0.0,1.0,0.0,0.0,Matches
Anthony Elanga,se SWE,FW,19.0,13.5,21.0,1.56,12.0,0.0,2.0,1.0,4.0,2.0,5.0,0.37,2.0,0.0,1.0,0.0,1.0,1.0,Matches
Marcus Rashford,eng ENG,"FW,MF",23.0,13.7,27.0,1.97,16.0,0.0,5.0,2.0,4.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,Matches
Edinson Cavani,uy URU,FW,34.0,8.5,11.0,1.29,8.0,0.0,0.0,2.0,1.0,0.0,2.0,0.23,1.0,0.0,0.0,1.0,0.0,0.0,Matches
Eric Bailly,ci CIV,DF,27.0,2.4,1.0,0.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesse Lingard,eng ENG,"FW,MF",28.0,4.1,16.0,3.92,13.0,0.0,0.0,2.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Juan Mata,es ESP,MF,33.0,2.6,9.0,3.45,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Martial,fr FRA,FW,25.0,2.4,5.0,2.12,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.42,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Phil Jones,eng ENG,DF,29.0,1.8,1.0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel James,wls WAL,FW,23.0,1.4,3.0,2.14,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hannibal Mejbri,tn TUN,FW,18.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Donny van de Beek,nl NED,MF,24.0,0.8,6.0,7.2,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Shola Shoretire,eng ENG,MF,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alejandro Garnacho,es ESP,"FW,MF",17.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.2,38.0,917.0,24.13,706.0,65.0,56.0,38.0,39.0,13.0,104.0,2.74,77.0,6.0,6.0,7.0,5.0,3.0,
Opponent Total,,,27.0,38.0,859.0,22.61,594.0,74.0,52.0,68.0,49.0,22.0,89.0,2.34,64.0,4.0,7.0,10.0,3.0,1.0,
Alisson,br BRA,GK,28.0,36.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Virgil van Dijk,nl NED,DF,30.0,34.0,31.0,0.91,22.0,1.0,0.0,6.0,0.0,2.0,6.0,0.18,4.0,0.0,0.0,2.0,0.0,0.0,Matches
Trent Alexander-Arnold,eng ENG,DF,22.0,31.7,160.0,5.05,96.0,53.0,3.0,7.0,1.0,0.0,18.0,0.57,13.0,4.0,0.0,1.0,0.0,0.0,Matches
Sadio Mané,sn SEN,FW,29.0,31.3,114.0,3.64,79.0,0.0,8.0,17.0,10.0,0.0,13.0,0.41,7.0,0.0,1.0,4.0,1.0,0.0,Matches
