Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Ederson,br BRA,GK,27.0,37.0,2.0,1,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,2.0,12.0,0.0,Matches
João Cancelo,pt POR,DF,27.0,35.9,83.0,54,33.0,35.0,15.0,46.0,91.0,50.5,45.0,25.0,3.0,22.0,59,142.0,45.0,1.0,Matches
Rodri,es ESP,MF,25.0,32.0,72.0,43,24.0,38.0,10.0,32.0,59.0,54.2,27.0,28.0,5.0,23.0,28,100.0,45.0,0.0,Matches
Bernardo Silva,pt POR,"MF,FW",26.0,31.7,57.0,29,19.0,19.0,19.0,31.0,67.0,46.3,36.0,24.0,2.0,22.0,20,77.0,19.0,0.0,Matches
Aymeric Laporte,es ESP,DF,27.0,31.4,33.0,15,22.0,10.0,1.0,14.0,20.0,70.0,6.0,15.0,10.0,5.0,20,53.0,64.0,2.0,Matches
Rúben Dias,pt POR,DF,24.0,26.7,26.0,19,11.0,12.0,3.0,8.0,15.0,53.3,7.0,19.0,13.0,6.0,23,49.0,66.0,0.0,Matches
Kevin De Bruyne,be BEL,MF,30.0,24.5,32.0,16,4.0,15.0,13.0,12.0,37.0,32.4,25.0,32.0,2.0,30.0,6,38.0,16.0,0.0,Matches
Phil Foden,eng ENG,FW,21.0,23.6,16.0,8,10.0,4.0,2.0,7.0,17.0,41.2,10.0,9.0,0.0,9.0,11,27.0,5.0,0.0,Matches
Raheem Sterling,eng ENG,FW,26.0,23.6,23.0,10,3.0,11.0,9.0,10.0,23.0,43.5,13.0,12.0,0.0,12.0,12,35.0,3.0,0.0,Matches
Jack Grealish,eng ENG,FW,25.0,21.3,18.0,17,4.0,10.0,4.0,5.0,13.0,38.5,8.0,11.0,1.0,10.0,8,26.0,7.0,0.0,Matches
Gabriel Jesus,br BRA,FW,24.0,20.9,18.0,12,2.0,4.0,12.0,6.0,26.0,23.1,20.0,18.0,0.0,18.0,15,33.0,8.0,0.0,Matches
İlkay Gündoğan,de GER,MF,30.0,20.6,23.0,9,10.0,12.0,1.0,12.0,31.0,38.7,19.0,11.0,1.0,10.0,15,38.0,10.0,0.0,Matches
Kyle Walker,eng ENG,DF,31.0,19.5,15.0,6,7.0,7.0,1.0,8.0,17.0,47.1,9.0,14.0,4.0,10.0,14,29.0,16.0,1.0,Matches
Riyad Mahrez,dz ALG,FW,30.0,16.6,11.0,3,5.0,4.0,2.0,5.0,19.0,26.3,14.0,15.0,1.0,14.0,6,17.0,6.0,0.0,Matches
John Stones,eng ENG,DF,27.0,12.4,5.0,3,3.0,2.0,0.0,2.0,3.0,66.7,1.0,3.0,3.0,0.0,11,16.0,27.0,1.0,Matches
Oleksandr Zinchenko,ua UKR,DF,24.0,11.6,20.0,14,7.0,10.0,3.0,11.0,20.0,55.0,9.0,11.0,3.0,8.0,14,34.0,15.0,1.0,Matches
Fernandinho,br BRA,"MF,DF",36.0,10.7,21.0,10,7.0,10.0,4.0,9.0,27.0,33.3,18.0,8.0,2.0,6.0,8,29.0,13.0,1.0,Matches
Nathan Aké,nl NED,DF,26.0,10.3,16.0,9,7.0,8.0,1.0,6.0,8.0,75.0,2.0,7.0,5.0,2.0,8,24.0,23.0,0.0,Matches
Ferrán Torres,es ESP,FW,21.0,3.4,2.0,2,0.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0,2.0,1.0,0.0,Matches
Cole Palmer,eng ENG,"FW,MF",19.0,1.4,2.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,1,3.0,0.0,0.0,Matches
Zack Steffen,us USA,GK,26.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Matches
Benjamin Mendy,fr FRA,DF,27.0,0.9,2.0,2,1.0,1.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Matches
James Mcatee,eng ENG,"MF,FW",18.0,0.2,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Liam Delap,eng ENG,FW,18.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Kayky Chagas,br BRA,FW,18.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
CJ Egan-Riley,eng ENG,DF,18.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Matches
Squad Total,,,27.0,38.0,498.0,284,183.0,214.0,101.0,227.0,509.0,44.6,282.0,267.0,55.0,212.0,279,777.0,403.0,7.0,
Opponent Total,,,26.9,38.0,632.0,359,392.0,194.0,46.0,316.0,741.0,42.6,425.0,509.0,209.0,300.0,374,1006.0,909.0,24.0,
David de Gea,es ESP,GK,30.0,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,11.0,2.0,Matches
Bruno Fernandes,pt POR,MF,26.0,34.6,54.0,28,26.0,22.0,6.0,26.0,91.0,28.6,65.0,36.0,0.0,36.0,17,71.0,42.0,2.0,Matches
Harry Maguire,eng ENG,DF,28.0,27.9,34.0,21,22.0,8.0,4.0,19.0,31.0,61.3,12.0,36.0,29.0,7.0,32,66.0,101.0,3.0,Matches
Scott McTominay,sct SCO,MF,24.0,26.5,65.0,33,32.0,24.0,9.0,30.0,61.0,49.2,31.0,45.0,10.0,35.0,31,96.0,60.0,1.0,Matches
Cristiano Ronaldo,pt POR,FW,36.0,27.3,8.0,6,1.0,5.0,2.0,2.0,6.0,33.3,4.0,8.0,0.0,8.0,2,10.0,29.0,0.0,Matches
Victor Lindelöf,se SWE,DF,27.0,26.2,16.0,11,9.0,7.0,0.0,9.0,14.0,64.3,5.0,26.0,17.0,9.0,25,41.0,96.0,0.0,Matches
Fred,br BRA,MF,28.0,22.5,63.0,27,32.0,24.0,7.0,22.0,79.0,27.8,57.0,38.0,11.0,27.0,32,95.0,24.0,0.0,Matches
Jadon Sancho,eng ENG,"FW,MF",21.0,21.1,14.0,8,9.0,4.0,1.0,8.0,22.0,36.4,14.0,19.0,0.0,19.0,15,29.0,5.0,3.0,Matches
Raphaël Varane,fr FRA,DF,28.0,20.3,28.0,19,21.0,6.0,1.0,10.0,22.0,45.5,12.0,18.0,9.0,9.0,18,46.0,82.0,1.0,Matches
Aaron Wan-Bissaka,eng ENG,DF,23.0,19.9,49.0,36,25.0,18.0,6.0,14.0,20.0,70.0,6.0,24.0,14.0,10.0,34,83.0,41.0,2.0,Matches
Diogo Dalot,pt POR,DF,22.0,20.0,55.0,41,35.0,12.0,8.0,31.0,57.0,54.4,26.0,24.0,13.0,11.0,29,84.0,59.0,0.0,Matches
Luke Shaw,eng ENG,DF,26.0,17.8,21.0,13,9.0,9.0,3.0,12.0,21.0,57.1,9.0,22.0,11.0,11.0,9,30.0,22.0,2.0,Matches
Alex Telles,br BRA,DF,28.0,18.4,48.0,27,35.0,9.0,4.0,27.0,43.0,62.8,16.0,17.0,4.0,13.0,26,74.0,45.0,0.0,Matches
Nemanja Matić,rs SRB,MF,32.0,15.4,31.0,18,19.0,11.0,1.0,15.0,31.0,48.4,16.0,21.0,6.0,15.0,31,62.0,21.0,3.0,Matches
Paul Pogba,fr FRA,"MF,FW",28.0,15.0,13.0,9,5.0,7.0,1.0,6.0,28.0,21.4,22.0,11.0,0.0,11.0,13,26.0,16.0,0.0,Matches
Mason Greenwood,eng ENG,"FW,MF",19.0,14.1,15.0,9,9.0,1.0,5.0,3.0,9.0,33.3,6.0,5.0,0.0,5.0,1,16.0,6.0,0.0,Matches
Anthony Elanga,se SWE,FW,19.0,13.5,26.0,20,12.0,12.0,2.0,15.0,29.0,51.7,14.0,17.0,1.0,16.0,9,35.0,7.0,0.0,Matches
Marcus Rashford,eng ENG,"FW,MF",23.0,13.7,6.0,5,1.0,4.0,1.0,2.0,13.0,15.4,11.0,10.0,1.0,9.0,5,11.0,5.0,1.0,Matches
Edinson Cavani,uy URU,FW,34.0,8.5,4.0,1,0.0,3.0,1.0,2.0,8.0,25.0,6.0,6.0,0.0,6.0,2,6.0,8.0,0.0,Matches
Eric Bailly,ci CIV,DF,27.0,2.4,5.0,4,4.0,0.0,1.0,3.0,4.0,75.0,1.0,4.0,2.0,2.0,3,8.0,11.0,0.0,Matches
Jesse Lingard,eng ENG,"FW,MF",28.0,4.1,9.0,7,4.0,3.0,2.0,2.0,6.0,33.3,4.0,4.0,0.0,4.0,0,9.0,1.0,0.0,Matches
Juan Mata,es ESP,MF,33.0,2.6,6.0,4,2.0,3.0,1.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,1,7.0,1.0,0.0,Matches
Anthony Martial,fr FRA,FW,25.0,2.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,0.0,1.0,0.0,Matches
Phil Jones,eng ENG,DF,29.0,1.8,5.0,5,3.0,1.0,1.0,2.0,3.0,66.7,1.0,4.0,4.0,0.0,3,8.0,8.0,0.0,Matches
Daniel James,wls WAL,FW,23.0,1.4,2.0,1,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,2.0,1.0,0.0,Matches
Hannibal Mejbri,tn TUN,FW,18.0,0.8,2.0,1,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,Matches
Donny van de Beek,nl NED,MF,24.0,0.8,6.0,4,4.0,1.0,1.0,1.0,2.0,50.0,1.0,5.0,1.0,4.0,2,8.0,1.0,0.0,Matches
Shola Shoretire,eng ENG,MF,17.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Alejandro Garnacho,es ESP,"FW,MF",17.0,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,27.2,38.0,585.0,358,320.0,197.0,68.0,265.0,608.0,43.6,343.0,404.0,133.0,271.0,340,925.0,704.0,20.0,
Opponent Total,,,27.0,38.0,596.0,347,273.0,228.0,95.0,263.0,631.0,41.7,368.0,468.0,143.0,325.0,430,1026.0,686.0,17.0,
Alisson,br BRA,GK,28.0,36.0,3.0,1,3.0,0.0,0.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,0,3.0,28.0,1.0,Matches
Virgil van Dijk,nl NED,DF,30.0,34.0,16.0,10,11.0,5.0,0.0,11.0,16.0,68.8,5.0,21.0,14.0,7.0,31,47.0,109.0,0.0,Matches
