Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Ederson,br BRA,GK,27.0,37.0,1016.0,1128.0,90.1,22789.0,14725.0,280.0,280.0,100.0,519.0,523.0,99.2,212.0,316.0,67.1,0,0.0,0.1,0.0,0.0,7.0,1.0,0.0,3.0,Matches
João Cancelo,pt POR,DF,27.0,35.9,2809.0,3365.0,83.5,44538.0,12620.0,1610.0,1732.0,93.0,938.0,1130.0,83.0,208.0,346.0,60.1,7,5.4,6.6,1.6,39.0,308.0,96.0,12.0,357.0,Matches
Rodri,es ESP,MF,25.0,32.0,2640.0,2887.0,91.4,48233.0,11300.0,1107.0,1185.0,93.4,1207.0,1271.0,95.0,294.0,358.0,82.1,2,1.4,2.7,0.6,29.0,284.0,37.0,3.0,285.0,Matches
Bernardo Silva,pt POR,"MF,FW",26.0,31.7,1728.0,1977.0,87.4,24552.0,4453.0,1027.0,1113.0,92.3,543.0,614.0,88.4,73.0,109.0,67.0,4,6.5,4.0,-2.5,59.0,106.0,42.0,6.0,170.0,Matches
Aymeric Laporte,es ESP,DF,27.0,31.4,2782.0,2940.0,94.6,53607.0,17549.0,933.0,966.0,96.6,1575.0,1624.0,97.0,251.0,316.0,79.4,0,0.6,1.3,-0.6,9.0,309.0,9.0,2.0,271.0,Matches
Rúben Dias,pt POR,DF,24.0,26.7,2133.0,2287.0,93.3,40019.0,12614.0,742.0,786.0,94.4,1201.0,1248.0,96.2,173.0,218.0,79.4,4,3.2,1.9,0.8,15.0,209.0,3.0,0.0,139.0,Matches
Kevin De Bruyne,be BEL,MF,30.0,24.5,1170.0,1568.0,74.6,19948.0,5365.0,581.0,663.0,87.6,434.0,558.0,77.8,122.0,249.0,49.0,8,10.4,7.5,-2.4,87.0,143.0,65.0,10.0,204.0,Matches
Phil Foden,eng ENG,FW,21.0,23.6,881.0,1102.0,79.9,12909.0,2621.0,542.0,595.0,91.1,235.0,294.0,79.9,56.0,115.0,48.7,5,6.3,5.3,-1.3,40.0,50.0,37.0,9.0,98.0,Matches
Raheem Sterling,eng ENG,FW,26.0,23.6,714.0,880.0,81.1,9140.0,1729.0,479.0,527.0,90.9,184.0,226.0,81.4,14.0,29.0,48.3,5,5.5,4.6,-0.5,42.0,15.0,48.0,9.0,65.0,Matches
Jack Grealish,eng ENG,FW,25.0,21.3,833.0,971.0,85.8,11275.0,2149.0,543.0,578.0,93.9,230.0,260.0,88.5,30.0,42.0,71.4,3,6.0,4.6,-3.0,53.0,30.0,43.0,1.0,100.0,Matches
Gabriel Jesus,br BRA,FW,24.0,20.9,637.0,770.0,82.7,8461.0,1409.0,398.0,457.0,87.1,175.0,206.0,85.0,21.0,31.0,67.7,8,5.7,3.5,2.3,38.0,15.0,30.0,4.0,55.0,Matches
İlkay Gündoğan,de GER,MF,30.0,20.6,1175.0,1340.0,87.7,18647.0,4054.0,608.0,648.0,93.8,412.0,456.0,90.4,105.0,151.0,69.5,4,4.9,4.2,-0.9,38.0,95.0,22.0,1.0,126.0,Matches
Kyle Walker,eng ENG,DF,31.0,19.5,1478.0,1668.0,88.6,26238.0,7085.0,654.0,697.0,93.8,672.0,732.0,91.8,136.0,192.0,70.8,2,1.3,2.1,0.7,11.0,178.0,17.0,4.0,146.0,Matches
Riyad Mahrez,dz ALG,FW,30.0,16.6,777.0,947.0,82.0,11969.0,2132.0,443.0,486.0,91.2,264.0,313.0,84.3,53.0,102.0,52.0,5,4.2,3.8,0.8,39.0,27.0,34.0,6.0,70.0,Matches
John Stones,eng ENG,DF,27.0,12.4,911.0,1001.0,91.0,16544.0,4754.0,391.0,420.0,93.1,426.0,455.0,93.6,83.0,102.0,81.4,0,0.2,0.3,-0.2,4.0,82.0,4.0,0.0,63.0,Matches
Oleksandr Zinchenko,ua UKR,DF,24.0,11.6,953.0,1073.0,88.8,14439.0,4109.0,529.0,562.0,94.1,354.0,387.0,91.5,46.0,75.0,61.3,4,2.7,2.5,1.3,16.0,104.0,22.0,5.0,113.0,Matches
Fernandinho,br BRA,"MF,DF",36.0,10.7,746.0,842.0,88.6,12820.0,3829.0,344.0,368.0,93.5,326.0,360.0,90.6,56.0,79.0,70.9,1,1.0,1.1,0.0,10.0,74.0,17.0,1.0,81.0,Matches
Nathan Aké,nl NED,DF,26.0,10.3,796.0,878.0,90.7,13200.0,4534.0,373.0,399.0,93.5,384.0,416.0,92.3,29.0,42.0,69.0,0,0.6,0.5,-0.6,2.0,63.0,3.0,0.0,57.0,Matches
Ferrán Torres,es ESP,FW,21.0,3.4,54.0,74.0,73.0,711.0,64.0,32.0,39.0,82.1,15.0,20.0,75.0,2.0,3.0,66.7,1,0.0,0.2,1.0,1.0,0.0,1.0,0.0,4.0,Matches
Cole Palmer,eng ENG,"FW,MF",19.0,1.4,46.0,54.0,85.2,561.0,109.0,32.0,33.0,97.0,9.0,12.0,75.0,3.0,5.0,60.0,0,0.2,0.3,-0.2,2.0,2.0,3.0,0.0,3.0,Matches
Zack Steffen,us USA,GK,26.0,1.0,34.0,39.0,87.2,567.0,330.0,17.0,17.0,100.0,15.0,15.0,100.0,2.0,7.0,28.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Benjamin Mendy,fr FRA,DF,27.0,0.9,80.0,94.0,85.1,1225.0,387.0,42.0,46.0,91.3,33.0,35.0,94.3,3.0,7.0,42.9,0,0.1,0.1,-0.1,2.0,9.0,1.0,1.0,9.0,Matches
James Mcatee,eng ENG,"MF,FW",18.0,0.2,9.0,13.0,69.2,141.0,7.0,3.0,5.0,60.0,6.0,6.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
Liam Delap,eng ENG,FW,18.0,0.1,1.0,1.0,100.0,13.0,9.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
Kayky Chagas,br BRA,FW,18.0,0.1,2.0,2.0,100.0,21.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
CJ Egan-Riley,eng ENG,DF,18.0,0.0,1.0,1.0,100.0,29.0,27.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,27.0,38.0,24406.0,27902.0,87.5,412596.0,117964.0,11713.0,12605.0,92.9,10158.0,11162.0,91.0,1972.0,2895.0,68.1,63,65.5,57.1,-2.5,536.0,2110.0,535.0,74.0,2421.0,
Opponent Total,,,26.9,38.0,9984.0,13251.0,75.3,181301.0,71712.0,4365.0,5046.0,86.5,4222.0,4971.0,84.9,1104.0,2399.0,46.0,23,19.0,17.4,4.0,182.0,590.0,151.0,35.0,757.0,
David de Gea,es ESP,GK,30.0,38.0,677.0,924.0,73.3,16463.0,11234.0,176.0,178.0,98.9,332.0,343.0,96.8,166.0,397.0,41.8,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,Matches
Bruno Fernandes,pt POR,MF,26.0,34.6,1549.0,2093.0,74.0,26517.0,7848.0,792.0,925.0,85.6,509.0,636.0,80.0,195.0,371.0,52.6,6,9.0,6.9,-3.0,88.0,170.0,81.0,14.0,237.0,Matches
