Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ederson,br BRA,GK,27.0,37.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
João Cancelo,pt POR,DF,27.0,35.9,1,81,23,28.4,2.26,0.64,0.01,0.04,22.0,1.0,0,0,4.0,4.0,0.05,-3.0,-3.0,Matches
Rodri,es ESP,MF,25.0,32.0,7,45,14,31.1,1.4,0.44,0.16,0.5,19.8,0.0,0,0,2.3,2.3,0.05,4.7,4.7,Matches
Bernardo Silva,pt POR,"MF,FW",26.0,31.7,8,47,19,40.4,1.48,0.6,0.17,0.42,12.6,0.0,0,0,6.7,6.7,0.14,1.3,1.3,Matches
Aymeric Laporte,es ESP,DF,27.0,31.4,4,35,7,20.0,1.11,0.22,0.11,0.57,11.6,0.0,0,0,4.9,4.9,0.14,-0.9,-0.9,Matches
Rúben Dias,pt POR,DF,24.0,26.7,2,18,3,16.7,0.67,0.11,0.11,0.67,11.8,0.0,0,0,2.7,2.7,0.15,-0.7,-0.7,Matches
Kevin De Bruyne,be BEL,MF,30.0,24.5,15,78,31,39.7,3.19,1.27,0.19,0.48,19.2,7.0,0,0,5.7,5.7,0.07,9.3,9.3,Matches
Phil Foden,eng ENG,FW,21.0,23.6,9,57,22,38.6,2.41,0.93,0.16,0.41,14.5,0.0,0,0,9.4,9.4,0.17,-0.4,-0.4,Matches
Raheem Sterling,eng ENG,FW,26.0,23.6,13,54,25,46.3,2.28,1.06,0.2,0.44,14.0,0.0,2,3,14.0,11.5,0.21,-1.0,-0.5,Matches
Jack Grealish,eng ENG,FW,25.0,21.3,3,45,16,35.6,2.12,0.75,0.07,0.19,14.6,0.0,0,0,5.3,5.3,0.12,-2.3,-2.3,Matches
Gabriel Jesus,br BRA,FW,24.0,20.9,8,63,20,31.7,3.02,0.96,0.11,0.35,13.8,0.0,1,1,9.8,9.0,0.14,-1.8,-2.0,Matches
İlkay Gündoğan,de GER,MF,30.0,20.6,8,55,18,32.7,2.67,0.87,0.15,0.44,14.5,2.0,0,0,9.0,9.0,0.16,-1.0,-1.0,Matches
Kyle Walker,eng ENG,DF,31.0,19.5,0,8,2,25.0,0.41,0.1,0.0,0.0,23.7,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Riyad Mahrez,dz ALG,FW,30.0,16.6,11,56,18,32.1,3.36,1.08,0.13,0.39,17.9,6.0,4,5,10.1,6.2,0.11,0.9,0.8,Matches
John Stones,eng ENG,DF,27.0,12.4,1,9,5,55.6,0.72,0.4,0.11,0.2,13.2,0.0,0,0,0.9,0.9,0.1,0.1,0.1,Matches
Oleksandr Zinchenko,ua UKR,DF,24.0,11.6,0,12,4,33.3,1.03,0.34,0.0,0.0,22.4,0.0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Fernandinho,br BRA,"MF,DF",36.0,10.7,2,18,3,16.7,1.68,0.28,0.11,0.67,16.7,0.0,0,0,1.6,1.6,0.09,0.4,0.4,Matches
Nathan Aké,nl NED,DF,26.0,10.3,2,5,2,40.0,0.49,0.2,0.4,1.0,7.3,0.0,0,0,0.7,0.7,0.13,1.3,1.3,Matches
Ferrán Torres,es ESP,FW,21.0,3.4,2,13,4,30.8,3.86,1.19,0.15,0.5,14.2,0.0,0,0,2.8,2.8,0.21,-0.8,-0.8,Matches
Cole Palmer,eng ENG,"FW,MF",19.0,1.4,0,4,1,25.0,2.93,0.73,0.0,0.0,21.6,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
Zack Steffen,us USA,GK,26.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Benjamin Mendy,fr FRA,DF,27.0,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
James Mcatee,eng ENG,"MF,FW",18.0,0.2,0,1,0,0.0,4.5,0.0,0.0,,10.7,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
